avhengig_var,kjønn,utdanning,alder,inntekt
81,mann,grunnskole,65,481
31,mann,grunnskole,65,304
86,mann,høyere,45,232
3,mann,grunnskole,32,717
77,mann,høyere,30,933
83,kvinne,grunnskole,46,803
35,mann,grunnskole,62,632
43,kvinne,grunnskole,31,1180
97,kvinne,grunnskole,23,589
12,kvinne,videregående,56,470
5,kvinne,høyere,25,1196
48,mann,høyere,36,1049
80,kvinne,høyere,30,921
8,mann,høyere,32,991
37,mann,grunnskole,24,589
35,kvinne,høyere,41,366
47,kvinne,grunnskole,60,473
89,mann,høyere,58,375
68,mann,grunnskole,47,588
34,mann,høyere,38,1063
98,mann,grunnskole,70,232
40,kvinne,videregående,22,416
72,kvinne,grunnskole,59,711
50,kvinne,grunnskole,34,342
31,kvinne,høyere,55,638
74,kvinne,videregående,32,341
65,kvinne,grunnskole,66,248
14,mann,høyere,28,1011
87,kvinne,høyere,22,594
48,kvinne,høyere,34,1194
70,mann,høyere,64,317
87,kvinne,høyere,39,314
37,kvinne,grunnskole,47,203
92,kvinne,høyere,66,382
64,mann,høyere,37,1061
81,mann,grunnskole,41,980
20,mann,høyere,38,700
2,mann,videregående,69,514
30,mann,grunnskole,54,1169
10,mann,høyere,49,1035
8,mann,grunnskole,60,686
70,mann,videregående,51,1093
77,kvinne,grunnskole,52,973
93,mann,høyere,37,608
85,kvinne,videregående,51,662
15,mann,grunnskole,22,546
2,mann,høyere,32,207
9,mann,grunnskole,22,1127
4,kvinne,grunnskole,50,443
35,kvinne,grunnskole,52,335
92,kvinne,grunnskole,68,684
52,mann,grunnskole,24,874
55,kvinne,videregående,44,678
93,mann,høyere,59,861
12,mann,videregående,64,547
13,mann,grunnskole,30,749
57,mann,videregående,29,485
59,mann,grunnskole,46,1027
70,mann,grunnskole,59,753
1,mann,grunnskole,28,616
62,kvinne,grunnskole,43,1124
7,mann,videregående,18,599
33,kvinne,videregående,45,913
93,kvinne,grunnskole,30,503
27,mann,høyere,65,755
7,kvinne,grunnskole,21,798
61,mann,grunnskole,50,282
23,mann,høyere,22,891
30,kvinne,grunnskole,54,452
74,mann,høyere,23,629
84,kvinne,videregående,31,885
91,kvinne,grunnskole,34,605
16,kvinne,videregående,38,1151
96,mann,grunnskole,47,836
72,mann,grunnskole,52,418
64,kvinne,grunnskole,40,1102
8,mann,videregående,36,361
56,kvinne,høyere,69,869
67,mann,høyere,70,767
38,mann,grunnskole,34,318
13,mann,videregående,36,819
26,kvinne,grunnskole,61,849
33,kvinne,videregående,21,294
81,kvinne,videregående,20,203
42,mann,høyere,34,365
94,kvinne,høyere,63,637
71,mann,grunnskole,22,1167
88,mann,høyere,20,1054
47,mann,videregående,26,242
39,kvinne,grunnskole,40,415
87,mann,høyere,24,562
99,kvinne,høyere,65,358
30,mann,grunnskole,44,225
22,kvinne,videregående,69,885
94,mann,videregående,28,1006
89,mann,videregående,20,1079
60,mann,grunnskole,70,1140
58,kvinne,videregående,70,1014
29,mann,grunnskole,60,397
51,kvinne,videregående,22,1190
98,kvinne,videregående,59,721
51,kvinne,grunnskole,25,1098
33,mann,høyere,34,239
13,kvinne,videregående,64,1005
40,kvinne,høyere,50,318
49,mann,videregående,20,925
55,mann,høyere,69,751
87,mann,videregående,45,271
85,kvinne,høyere,38,879
15,kvinne,høyere,37,882
52,kvinne,videregående,62,502
70,mann,grunnskole,44,880
48,mann,høyere,54,508
51,mann,videregående,36,415
55,kvinne,videregående,46,652
86,mann,høyere,48,1012
94,mann,høyere,23,490
65,kvinne,grunnskole,70,1174
96,mann,høyere,37,430
25,mann,grunnskole,20,450
60,mann,videregående,44,1107
80,mann,høyere,62,593
63,kvinne,grunnskole,27,871
88,mann,grunnskole,67,635
28,mann,høyere,51,675
6,mann,grunnskole,47,336
59,kvinne,videregående,57,1034
92,kvinne,høyere,46,1118
20,kvinne,videregående,34,969
31,kvinne,høyere,49,841
30,kvinne,videregående,22,930
36,mann,videregående,39,527
69,mann,grunnskole,27,436
49,mann,høyere,31,265
53,kvinne,videregående,52,677
53,mann,grunnskole,44,598
98,mann,høyere,42,688
0,kvinne,videregående,66,599
53,mann,videregående,32,479
55,kvinne,grunnskole,42,544
85,kvinne,høyere,28,1060
59,mann,høyere,52,227
50,mann,grunnskole,59,638
17,kvinne,grunnskole,21,466
48,kvinne,grunnskole,47,534
43,kvinne,videregående,66,1174
53,kvinne,grunnskole,48,219
95,mann,videregående,32,865
8,mann,grunnskole,33,404
2,mann,grunnskole,26,684
85,mann,høyere,31,676
89,kvinne,videregående,28,820
77,mann,grunnskole,37,310
74,mann,videregående,54,893
48,kvinne,høyere,30,277
75,mann,grunnskole,62,991
38,mann,høyere,68,242
44,kvinne,høyere,41,270
64,kvinne,grunnskole,44,1042
62,mann,videregående,41,850
58,mann,videregående,29,951
66,kvinne,høyere,69,1141
68,kvinne,videregående,45,1045
93,kvinne,videregående,33,1050
11,kvinne,videregående,33,968
59,kvinne,videregående,19,706
41,mann,videregående,31,563
33,kvinne,videregående,56,918
35,mann,høyere,30,287
30,kvinne,videregående,53,976
30,kvinne,høyere,63,702
57,mann,grunnskole,36,426
51,mann,videregående,60,795
47,kvinne,høyere,51,552
54,kvinne,videregående,62,664
34,kvinne,videregående,32,323
92,mann,videregående,25,960
68,mann,grunnskole,31,956
61,kvinne,høyere,55,1200
97,kvinne,grunnskole,30,503
29,kvinne,grunnskole,37,214
90,mann,videregående,20,1197
6,kvinne,høyere,26,853
96,kvinne,grunnskole,18,787
36,kvinne,videregående,46,548
23,mann,videregående,48,316
8,kvinne,videregående,22,790
80,mann,grunnskole,27,1030
72,kvinne,grunnskole,33,321
71,kvinne,høyere,56,1009
79,mann,høyere,42,661
56,kvinne,høyere,45,512
72,mann,høyere,65,301
97,mann,høyere,31,470
84,mann,grunnskole,33,377
70,mann,grunnskole,18,618
57,kvinne,videregående,20,437
